timestamp,source_provider,source_region,source_ip,target_provider,target_region,target_ip,success,avg_latency,min_latency,max_latency,packet_loss,error,note
2025-08-02T02:20:53.660852,AWS,ap-south-1,3.110.78.219,AWS,af-south-1,13.245.236.16,TRUE,425.7,425,427,0,,
2025-08-02T02:21:02.854074,AWS,ap-south-1,3.110.78.219,AWS,ap-northeast-1,57.183.18.62,TRUE,46.3,45,55,0,,
2025-08-02T02:21:11.993607,AWS,ap-south-1,3.110.78.219,AWS,ap-northeast-2,3.35.173.236,TRUE,11.5,11,12,0,,
2025-08-02T02:21:21.199800,AWS,ap-south-1,3.110.78.219,AWS,ap-southeast-1,13.229.101.72,TRUE,81.2,81,82,0,,
2025-08-02T02:21:30.504343,AWS,ap-south-1,3.110.78.219,AWS,ca-central-1,35.183.113.19,TRUE,185.9,185,186,0,,
2025-08-02T02:21:39.899288,AWS,ap-south-1,3.110.78.219,AWS,eu-central-1,18.184.239.190,TRUE,274.2,271,295,0,,
2025-08-02T02:21:49.314814,AWS,ap-south-1,3.110.78.219,AWS,eu-south-2,51.48.91.118,TRUE,288.9,288,292,0,,
2025-08-02T02:21:58.709469,AWS,ap-south-1,3.110.78.219,AWS,eu-west-1,63.33.190.43,TRUE,273.4,273,274,0,,
2025-08-02T02:22:08.159033,AWS,ap-south-1,3.110.78.219,AWS,me-south-1,157.175.182.59,TRUE,295.8,295,302,0,,
2025-08-02T02:22:17.578860,AWS,ap-south-1,3.110.78.219,AWS,sa-east-1,52.67.230.2,TRUE,304.9,304,305,0,,
2025-08-02T02:22:26.971930,AWS,ap-south-1,3.110.78.219,AWS,us-east-1,13.223.204.77,TRUE,219,186,336,0,,
2025-08-02T02:22:36.227314,AWS,ap-south-1,3.110.78.219,AWS,us-west-1,54.193.216.187,TRUE,125.5,122,150,0,,
2025-08-02T02:22:45.391787,AWS,ap-south-1,3.110.78.219,GCP,asia-east2,34.92.77.143,TRUE,43.1,42,47,0,,
2025-08-02T02:22:54.553241,AWS,ap-south-1,3.110.78.219,GCP,asia-northeast1,34.146.113.141,TRUE,36.3,36,38,0,,
2025-08-02T02:23:03.835377,AWS,ap-south-1,3.110.78.219,GCP,asia-south1,34.93.67.233,TRUE,137.7,137,139,0,,
2025-08-02T02:23:13.042962,AWS,ap-south-1,3.110.78.219,GCP,asia-southeast1,34.126.128.161,TRUE,79.1,77,88,0,,
2025-08-02T02:23:22.332263,AWS,ap-south-1,3.110.78.219,GCP,australia-southeast1,35.244.90.228,TRUE,135.1,134,137,0,,
2025-08-02T02:23:31.733734,AWS,ap-south-1,3.110.78.219,GCP,europe-central2,34.118.31.88,TRUE,267.1,265,279,0,,
2025-08-02T02:23:41.123810,AWS,ap-south-1,3.110.78.219,GCP,europe-west12,34.17.122.250,TRUE,259.6,259,262,0,,
2025-08-02T02:23:50.498442,AWS,ap-south-1,3.110.78.219,GCP,europe-west4,34.13.152.183,TRUE,248,247,250,0,,
2025-08-02T02:23:59.826691,AWS,ap-south-1,3.110.78.219,GCP,northamerica-northeast1,34.152.17.65,TRUE,185.8,185,188,0,,
2025-08-02T02:24:09.239226,AWS,ap-south-1,3.110.78.219,GCP,southamerica-east1,34.95.199.13,TRUE,287.4,286,290,0,,
2025-08-02T02:24:18.561552,AWS,ap-south-1,3.110.78.219,GCP,us-east4,35.245.136.40,TRUE,179.4,178,187,0,,
2025-08-02T02:24:27.835243,AWS,ap-south-1,3.110.78.219,GCP,us-west1,34.168.233.222,TRUE,123.6,123,124,0,,
2025-08-02T02:24:37.393316,AWS,ap-southeast-1,13.229.101.72,AWS,af-south-1,13.245.236.16,TRUE,425.7,425,426,0,,
2025-08-02T02:24:46.565322,AWS,ap-southeast-1,13.229.101.72,AWS,ap-northeast-1,57.183.18.62,TRUE,45.4,45,46,0,,
2025-08-02T02:24:55.713638,AWS,ap-southeast-1,13.229.101.72,AWS,ap-northeast-2,3.35.173.236,TRUE,12,11,13,0,,
2025-08-02T02:25:05.014280,AWS,ap-southeast-1,13.229.101.72,AWS,ap-south-1,3.110.78.219,TRUE,139.3,139,142,0,,
2025-08-02T02:25:14.340614,AWS,ap-southeast-1,13.229.101.72,AWS,ca-central-1,35.183.113.19,TRUE,185.8,185,186,0,,
2025-08-02T02:25:23.771792,AWS,ap-southeast-1,13.229.101.72,AWS,eu-central-1,18.184.239.190,TRUE,271.3,271,272,0,,
2025-08-02T02:25:33.197482,AWS,ap-southeast-1,13.229.101.72,AWS,eu-south-2,51.48.91.118,TRUE,288.6,288,289,0,,
2025-08-02T02:25:42.606571,AWS,ap-southeast-1,13.229.101.72,AWS,eu-west-1,63.33.190.43,TRUE,274,273,280,0,,
2025-08-02T02:25:52.016620,AWS,ap-southeast-1,13.229.101.72,AWS,me-south-1,157.175.182.59,TRUE,294.5,294,295,0,,
2025-08-02T02:26:01.486230,AWS,ap-southeast-1,13.229.101.72,AWS,sa-east-1,52.67.230.2,TRUE,304.7,304,305,0,,
2025-08-02T02:26:10.788815,AWS,ap-southeast-1,13.229.101.72,AWS,us-east-1,13.223.204.77,TRUE,186.2,185,189,0,,
2025-08-02T02:26:20.028952,AWS,ap-southeast-1,13.229.101.72,AWS,us-west-1,54.193.216.187,TRUE,122.9,122,124,0,,
